reference,leader,word,trailer,lemma,part_of_speech
0.1,,Ἰγνάτιος,",",Ἰγνάτιος,NOUN
0.1,,ὁ,,,DET
0.1,,καὶ,,καί,ADV
0.1,,Θεοφόρος,",",,ADJ
0.1,,τῇ,,ὁ,DET
0.1,,εὐλογημένῃ,,,VERB
0.1,,ἐν,,ἐν,ADP
0.1,,χάριτι,,χάρις,NOUN
0.1,,θεοῦ,,θεός,NOUN
0.1,,πατρὸς,,πατήρ,NOUN
0.1,,ἐν,,ἐν,ADP
0.1,,Χριστῷ,,χριστός,PROPN
0.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
0.1,,τῷ,,ὁ,DET
0.1,,σωτῆρι,,σωτήρ,NOUN
0.1,,ἡμῶν,",",ἐγώ,PRON
0.1,,ἐν,,ἐν,ADP
0.1,,ᾧ,,,PRON
0.1,,ἀσπάζομαι,,ἀσπάζομαι,VERB
0.1,,τὴν,,ὁ,DET
0.1,,ἐκκλησίαν,,ἐκκλησία,NOUN
0.1,,τὴν,,ὁ,DET
0.1,,οὖσαν,,εἰμί,AUX
0.1,,ἐν,,ἐν,ADP
0.1,,Μαγνησίᾳ,,Μαγνησία,PROPN
0.1,,τῇ,,ὁ,DET
0.1,,πρὸς,,πρός,ADP
0.1,,Μαιάνδρῳ,,Μαίανδρος,PROPN
0.1,,καὶ,,καί,CCONJ
0.1,,εὔχομαι,,εὔχομαι,VERB
0.1,,ἐν,,ἐν,ADP
0.1,,θεῷ,,θεός,NOUN
0.1,,πατρὶ,,πατήρ,NOUN
0.1,,καὶ,,καί,CCONJ
0.1,,ἐν,,ἐν,ADP
0.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
0.1,,Χριστῷ,,χριστός,PROPN
0.1,,πλεῖστα,,πλεῖστος,ADJ
0.1,,χαίρειν,.,χαίρω,VERB
1.1,,Γνοὺς,,γιγνώσκω,VERB
1.1,,ὑμῶν,,σύ,PRON
1.1,,τὸ,,ὁ,DET
1.1,,πολυεύτακτον,,,ADJ
1.1,,τῆς,,ὁ,DET
1.1,,κατὰ,,κατά,ADP
1.1,,θεὸν,,θεός,NOUN
1.1,,ἀγάπης,",",ἀγάπη,NOUN
1.1,,ἀγαλλιώμενος,,ἀγαλλιάω,VERB
1.1,,προειλόμην,,προαιρέω,VERB
1.1,,ἐν,,ἐν,ADP
1.1,,πίστει,,πίστις,NOUN
1.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
1.1,,Χριστοῦ,,χριστός,PROPN
1.1,,προσλαλῆσαι,,προσλαλέω,VERB
1.1,,ὑμῖν,.,σύ,PRON
1.2,,καταξιωθεὶς,,καταξιόω,VERB
1.2,,γὰρ,,γάρ,ADV
1.2,,ὀνόματος,,ὄνομα,NOUN
1.2,,θεοπρεπεστάτου,",",θεοπρεπής,ADJ
1.2,,ἐν,,ἐν,ADP
1.2,,οἷς,,ὅς,PRON
1.2,,περιφέρω,,περιφέρω,VERB
1.2,,δεσμοῖς,,δεσμός,NOUN
1.2,,ᾄδω,,ἀείδω,VERB
1.2,,τὰς,,ὁ,DET
1.2,,ἐκκλησίας,",",ἐκκλησία,NOUN
1.2,,ἐν,,ἐν,ADP
1.2,,αἷς,,ὅς,PRON
1.2,,ἕνωσιν,,ἕνωσις,NOUN
1.2,,εὔχομαι,,εὔχομαι,VERB
1.2,,σαρκὸς,,σάρξ,NOUN
1.2,,καὶ,,καί,CCONJ
1.2,,πνεύματος,,πνεῦμα,NOUN
1.2,,Ἰησοῦ,,Ἰησοῦς,PROPN
1.2,,Χριστοῦ,",",χριστός,NOUN
1.2,,τοῦ,,ὁ,DET
1.2,,διὰ,,διά,ADP
1.2,,παντὸς,,πᾶς,ADJ
1.2,,ἡμῶν,,ἐγώ,PRON
1.2,,ζῆν,",",ζάω,VERB
1.2,,πίστεώς,,πίστις,NOUN
1.2,,τε,,τε,ADV
1.2,,καὶ,,καί,CCONJ
1.2,,ἀγάπης,",",ἀγάπη,NOUN
1.2,,ἧς,,ὅς,PRON
1.2,,οὐδὲν,,οὐδείς,ADJ
1.2,,προκέκριται,",",προκρίνω,VERB
1.2,,τὸ,,ὁ,DET
1.2,,δὲ,,δέ,CCONJ
1.2,,κυριώτερον,,κύριος,ADJ
1.2,,Ἰησοῦ,,Ἰησοῦς,NOUN
1.2,,καὶ,,καί,CCONJ
1.2,,πατρός,·,πατήρ,NOUN
1.2,,ἐν,,ἐν,ADP
1.2,,ᾧ,,,PRON
1.2,,ὑπομένοντες,,ὑπομένω,VERB
1.2,,τὴν,,ὁ,DET
1.2,,πᾶσαν,,πᾶς,ADJ
1.2,,ἐπήρειαν,,ἐπήρεια,NOUN
1.2,,τοῦ,,ὁ,DET
1.2,,ἄρχοντος,,ἄρχων,NOUN
1.2,,τοῦ,,ὁ,DET
1.2,,αἰῶνος,,αἰών,NOUN
1.2,,τούτου,,οὗτος,ADJ
1.2,,καὶ,,καί,CCONJ
1.2,,διαφυγόντες,,διαφεύγω,VERB
1.2,,θεοῦ,,θεός,NOUN
1.2,,τευξόμεθα,.,,VERB
2.1,,Ἐπεὶ,,ἐπεί,CCONJ
2.1,,οὖν,,οὖν,ADV
2.1,,ἠξιώθην,,,VERB
2.1,,ἰδεῖν,,εἶδον,VERB
2.1,,ὑμᾶς,,σύ,PRON
2.1,,διὰ,,διά,ADP
2.1,,Δαμᾶ,,Δαμᾶς,PROPN
2.1,,τοῦ,,ὁ,DET
2.1,,ἀξιοθέου,,ἀξιόθεος,ADJ
2.1,,ὑμῶν,,σύ,PRON
2.1,,ἐπισκόπου,,ἐπίσκοπος,NOUN
2.1,,καὶ,,καί,CCONJ
2.1,,πρεσβυτέρων,,πρέσβυς,ADJ
2.1,,ἀξίων,,ἄξιος,ADJ
2.1,,Βάσσου,,Βάσσος,PROPN
2.1,,καὶ,,καί,CCONJ
2.1,,Ἀπολλωνίου,,Ἀπολλωνία,PROPN
2.1,,καὶ,,καί,CCONJ
2.1,,τοῦ,,ὁ,DET
2.1,,συνδούλου,,σύνδουλος,NOUN
2.1,,μου,,ἐγώ,PRON
2.1,,διακόνου,,διάκονος,NOUN
2.1,,Ζωτίωνος,",",,NOUN
2.1,,οὗ,,ὅς,PRON
2.1,,ἐγὼ,,ἐγώ,PRON
2.1,,ὀναίμην,",",ὀνίνημι,VERB
2.1,,ὅτι,,ὅτι,SCONJ
2.1,,ὑποτάσσεται,,ὑποτάσσω,VERB
2.1,,τῷ,,ὁ,DET
2.1,,ἐπισκόπῳ,,ἐπίσκοπος,NOUN
2.1,,ὡς,,ὡς,ADV
2.1,,χάριτι,,χάρις,NOUN
2.1,,θεοῦ,,θεός,NOUN
2.1,,καὶ,,καί,CCONJ
2.1,,τῷ,,ὁ,DET
2.1,,πρεσβυτερίῳ,,πρεσβυτέριον,NOUN
2.1,,ὡς,,ὡς,ADV
2.1,,νόμῳ,,νόμος,NOUN
2.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
2.1,,Χριστοῦ,.,χριστός,PROPN
3.1,,Καὶ,,καί,ADV
3.1,,ὑμῖν,,σύ,PRON
3.1,,δὲ,,δέ,ADV
3.1,,πρέπει,,πρέπω,VERB
3.1,,μὴ,,μή,ADV
3.1,,συγχρᾶσθαι,,συγχράομαι,VERB
3.1,,τῇ,,ὁ,DET
3.1,,ἡλικίᾳ,,ἡλικία,NOUN
3.1,,τοῦ,,ὁ,DET
3.1,,ἐπισκόπου,",",ἐπίσκοπος,NOUN
3.1,,ἀλλὰ,,ἀλλά,CCONJ
3.1,,κατὰ,,κατά,ADP
3.1,,δύναμιν,,δύναμις,NOUN
3.1,,θεοῦ,,θεός,NOUN
3.1,,πατρὸς,,πατήρ,NOUN
3.1,,πᾶσαν,,πᾶς,ADJ
3.1,,ἐντροπὴν,,ἐντροπή,NOUN
3.1,,αὐτῷ,,αὐτός,PRON
3.1,,ἀπονέμειν,",",ἀπονέμω,VERB
3.1,,καθὼς,,καθώς,SCONJ
3.1,,ἔγνων,,γιγνώσκω,VERB
3.1,,καὶ,,καί,ADV
3.1,,τοὺς,,ὁ,DET
