reference,leader,word,trailer,lemma,part_of_speech
0.1,,Ἰγνάτιος,",",Ἰγνάτιος,NOUN
0.1,,ὁ,,ὁ,DET
0.1,,καὶ,,καί,ADV
0.1,,Θεοφόρος,",",Θεοφόρος,ADJ
0.1,,τῇ,,ὁ,DET
0.1,,ἠλεημένῃ,,ἠλεέω,VERB
0.1,,ἐν,,ἐν,ADP
0.1,,μεγαλειότητι,,μεγαλειότης,NOUN
0.1,,πατρὸς,,πατήρ,NOUN
0.1,,ὑψίστου,,ὕψιστος,ADJ
0.1,,καὶ,,καί,CCONJ
0.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
0.1,,Χριστοῦ,,χριστός,PROPN
0.1,,τοῦ,,ὁ,DET
0.1,,μόνου,,μόνος,ADJ
0.1,,υἱοῦ,,υἱός,NOUN
0.1,,αὐτοῦ,,αὐτός,PRON
0.1,,ἐκκλησίᾳ,,ἐκκλησία,NOUN
0.1,,ἠγαπημένῃ,,ἀγαπάω,VERB
0.1,,καὶ,,καί,CCONJ
0.1,,πεφωτισμένῃ,,φωτίζω,VERB
0.1,,ἐν,,ἐν,ADP
0.1,,θελήματι,,θέλημα,NOUN
0.1,,τοῦ,,ὁ,DET
0.1,,θελήσαντος,,ἐθέλω,VERB
0.1,,τὰ,,ὁ,DET
0.1,,πάντα,",",πᾶς,ADJ
0.1,,ἃ,,ὅς,PRON
0.1,,ἔστιν,",",εἰμί,AUX
0.1,,κατὰ,,κατά,ADP
0.1,,ἀγάπην,,ἀγάπη,NOUN
0.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
0.1,,Χριστοῦ,",",χριστός,PROPN
0.1,,τοῦ,,ὁ,DET
0.1,,θεοῦ,,θεός,NOUN
0.1,,ἡμῶν,",",ἐγώ,PRON
0.1,,ἥτις,,ὅστις,PRON
0.1,,καὶ,,καί,ADV
0.1,,προκάθηται,,προκάθηται,VERB
0.1,,ἐν,,ἐν,ADP
0.1,,τόπῳ,,τόπος,NOUN
0.1,,χωρίου,,χωρίον,NOUN
0.1,,Ῥωμαίων,",",Ῥωμαῖος,ADJ
0.1,,ἀξιόθεος,",",ἀξιόθεος,ADJ
0.1,,ἀξιοπρεπής,",",ἀξιοπρεπής,ADJ
0.1,,ἀξιομακάριστος,",",ἀξιομακάριστος,ADJ
0.1,,ἀξιέπαινος,",",ἀξιέπαινος,ADJ
0.1,,ἀξιεπίτευκτος,",",ἀξιεπίτευκτος,ADJ
0.1,,ἀξίαγνος,,ἀξίαγνος,ADJ
0.1,,καὶ,,καί,CCONJ
0.1,,προκαθημένη,,πρό-κάθημαι,VERB
0.1,,τῆς,,ὁ,DET
0.1,,ἀγάπης,",",ἀγάπη,NOUN
0.1,,χριστώνυμος,",",χριστώνυμος,ADJ
0.1,,πατρώνυμος,",",πατρώνυμος,ADJ
0.1,,ἣν,,ὅς,PRON
0.1,,καὶ,,καί,ADV
0.1,,ἀσπάζομαι,,ἀσπάζομαι,VERB
0.1,,ἐν,,ἐν,ADP
0.1,,ὀνόματι,,ὄνομα,NOUN
0.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
0.1,,Χριστοῦ,",",χριστός,PROPN
0.1,,υἱοῦ,,υἱός,NOUN
0.1,,πατρός,·,πατήρ,NOUN
0.1,,κατὰ,,κατά,ADP
0.1,,σάρκα,,σάρξ,NOUN
0.1,,καὶ,,καί,CCONJ
0.1,,πνεῦμα,,πνεῦμα,NOUN
0.1,,ἡνωμένοις,,ἑνόω,ADJ
0.1,,πάσῃ,,πᾶς,ADJ
0.1,,ἐντολῇ,,ἐντολή,NOUN
0.1,,αὐτοῦ,",",αὐτός,PRON
0.1,,πεπληρωμένοις,,πληρόω,VERB
0.1,,χάριτος,,χάρις,NOUN
0.1,,θεοῦ,,θεός,NOUN
0.1,,ἀδιακρίτως,,ἀδιάκριτος,ADV
0.1,,καὶ,,καί,CCONJ
0.1,,ἀποδιϋλισμένοις,,"ἀπό,διά-ὑλίζω",VERB
0.1,,ἀπὸ,,ἀπό,ADP
0.1,,παντὸς,,πᾶς,ADJ
0.1,,ἀλλοτρίου,,ἀλλοτριος,ADJ
0.1,,χρώματος,,χρῶμα,NOUN
0.1,,πλεῖστα,,πλεῖστος,ADJ
0.1,,ἐν,,ἐν,ADP
0.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
0.1,,Χριστῷ,",",χριστός,PROPN
0.1,,τῷ,,ὁ,DET
0.1,,θεῷ,,θεός,NOUN
0.1,,ἡμῶν,",",ἐγώ,PRON
0.1,,ἀμώμως,,ἄμωμος,ADV
0.1,,χαίρειν,.,χαίρω,VERB
1.1,,Ἐπεὶ,,ἐπεί,CCONJ
1.1,,εὐξάμενος,,εὔχομαι,VERB
1.1,,θεῷ,,θεός,NOUN
1.1,,ἐπέτυχον,,ἐπιτυγχάνω,VERB
1.1,,ἰδεῖν,,εἶδον,VERB
1.1,,ὑμῶν,,σύ,PRON
1.1,,τὰ,,ὁ,DET
1.1,,ἀξιόθεα,,ἀξιόθεος,ADJ
1.1,,πρόσωπα,",",πρόσωπον,NOUN
1.1,,ὡς,,ὡς,ADV
1.1,,καὶ,,καί,ADV
1.1,,πλέον,,πολύς,ADJ
1.1,,ᾐτούμην,,αἰτέω,VERB
1.1,,λαβεῖν,·,λαμβάνω,VERB
1.1,,δεδεμένος,,δέω,VERB
1.1,,γὰρ,,γάρ,ADV
1.1,,ἐν,,ἐν,ADP
1.1,,Χριστῷ,,χριστός,NOUN
1.1,,Ἰησοῦ,,Ἰησοῦς,NOUN
1.1,,ἐλπίζω,,ἐλπίζω,VERB
1.1,,ὑμᾶς,,σύ,PRON
1.1,,ἀσπάσασθαι,",",ἀσπάζομαι,VERB
1.1,,ἐάνπερ,,ἐάν,SCONJ
1.1,,θέλημα,,θέλημα,NOUN
1.1,,ᾖ,,εἰμί,AUX
1.1,,τοῦ,,ὁ,DET
1.1,,ἀξιωθῆναί,,ἀξιόω,VERB
1.1,,με,,ἐγώ,PRON
1.1,,εἰς,,εἰς,ADP
1.1,,τέλος,,τέλος,NOUN
1.1,,εἶναι,.,εἰμί,AUX
1.2,,ἡ,,ὁ,DET
1.2,,μὲν,,μέν,ADV
1.2,,γὰρ,,γάρ,ADV
1.2,,ἀρχὴ,,ἀρχή,NOUN
1.2,,εὐοικονόμητός,,εὐοικονόμητος,ADJ
1.2,,ἐστιν,",",εἰμί,AUX
1.2,,ἐάνπερ,,ἐάν,SCONJ
1.2,,χάριτος,,χάρις,NOUN
1.2,,ἐπιτύχω,,ἐπιτυγχάνω,VERB
1.2,,εἰς,,εἰς,ADP
1.2,,τὸ,,ὁ,DET
1.2,,τὸν,,ὁ,DET
1.2,,κλῆρόν,,κλῆρος,NOUN
1.2,,μου,,ἐγώ,PRON
1.2,,ἀνεμποδίστως,,ἀνεμπόδιστος,ADV
1.2,,ἀπολαβεῖν,.,ἀπολαμβάνω,VERB
1.2,,φοβοῦμαι,,φοβέω,VERB
1.2,,γὰρ,,γάρ,ADV
1.2,,τὴν,,ὁ,DET
1.2,,ὑμῶν,,σύ,PRON
1.2,,ἀγάπην,",",ἀγάπη,NOUN
1.2,,μὴ,,μή,CCONJ
1.2,,αὐτή,,αὐτός,ADJ
1.2,,με,,ἐγώ,PRON
1.2,,ἀδικήσῃ,.,ἀδικέω,VERB
1.2,,ὑμῖν,,σύ,PRON
1.2,,γὰρ,,γάρ,ADV
1.2,,εὐχερές,,εὐχερής,ADJ
1.2,,ἐστιν,",",εἰμί,AUX
1.2,,ὃ,,ὅς,PRON
1.2,,θέλετε,",",ἐθέλω,VERB
1.2,,ποιῆσαι,·,ποιέω,VERB
1.2,,ἐμοὶ,,ἐγώ,PRON
1.2,,δὲ,,δέ,ADV
1.2,,δύσκολόν,,δύσκολος,ADJ
1.2,,ἐστιν,,εἰμί,AUX
1.2,,τοῦ,,ὁ,DET
1.2,,θεοῦ,,θεός,NOUN
1.2,,ἐπιτυχεῖν,",",ἐπιτυγχάνω,VERB
1.2,,ἐάνπερ,,ἐάν,SCONJ
