reference,leader,word,trailer,lemma,part_of_speech
1.7,,τῶν,,ὁ,DET
1.7,,προφητῶν,,προφήτης,NOUN
1.7,,τὰ,,ὁ,DET
1.7,,παρεληλυθότα,,παρέρχομαι,VERB
1.7,,καὶ,,καί,CCONJ
1.7,,τὰ,,ὁ,DET
1.7,,ἐνεστῶτα,",",ἐνίστημι,VERB
1.7,,καὶ,,καί,CCONJ
1.7,,τῶν,,ὁ,DET
1.7,,μελλόντων,,μέλλω,VERB
1.7,,δοὺς,,δίδωμι,VERB
1.7,,ἀπαρχὰς,,ἀπαρχή,NOUN
1.7,,ἡμῖν,,ἐγώ,PRON
1.7,,γεύσεως,",",γεῦσις,NOUN
1.7,,ὧν,,ὅς,PRON
1.7,,τὰ,,ὁ,DET
1.7,,καθ’,,κατά,ADP
1.7,,ἕκαστα,,ἕκαστος,ADJ
1.7,,βλέποντες,,βλέπω,VERB
1.7,,ἐνεργούμενα,",",ἐνεργέω,VERB
1.7,,καθὼς,,καθώς,ADV
1.7,,ἐλάλησεν,",",λαλέω,VERB
1.7,,ὀφείλομεν,,ὀφείλω,VERB
1.7,,πλουσιώτερον,,πλούσιος,ADJ
1.7,,καὶ,,καί,CCONJ
1.7,,ὑψηλότερον,,ὑψηλός,ADJ
1.7,,προσάγειν,,προσάγω,VERB
1.7,,τῷ,,ὁ,DET
1.7,,φόβῳ,,φόβος,NOUN
1.7,,αὐτοῦ,.,αὐτός,PRON
1.8,,ἐγὼ,,ἐγώ,PRON
1.8,,δὲ,,δέ,ADV
1.8,,οὐχ,,οὐ,ADV
1.8,,ὡς,,ὡς,ADV
1.8,,διδάσκαλος,",",διδάσκαλος,NOUN
1.8,,ἀλλ’,,ἀλλά,CCONJ
1.8,,ὡς,,ὡς,ADV
1.8,,εἷς,,εἷς,NUM
1.8,,ἐξ,,ἐκ,ADP
1.8,,ὑμῶν,,σύ,PRON
1.8,,ὑποδείξω,,ὑποδείκνυμι,VERB
1.8,,ὀλίγα,",",ὀλίγος,ADJ
1.8,,δι’,,διά,ADP
1.8,,ὧν,,ὅς,PRON
1.8,,ἐν,,ἐν,ADP
1.8,,τοῖς,,ὁ,DET
1.8,,παροῦσιν,,πρήσκω,VERB
1.8,,εὐφρανθήσεσθε,.,εὐφραίνω,VERB
2.1,,Ἡμερῶν,,ἡμερα,NOUN
2.1,,οὖν,,οὖν,ADV
2.1,,οὐσῶν,,εἰμί,AUX
2.1,,πονηρῶν,,πονηρός,ADJ
2.1,,καὶ,,καί,CCONJ
2.1,,αὐτοῦ,,αὐτός,ADJ
2.1,,τοῦ,,ὁ,DET
2.1,,ἐνεργοῦντος,,ἐνεργέω,VERB
2.1,,ἔχοντος,,ἔχω,VERB
2.1,,τὴν,,ὁ,DET
2.1,,ἐξουσίαν,",",ἐξουσία,NOUN
2.1,,ὀφείλομεν,,ὀφείλω,VERB
2.1,,ἑαυτοῖς,,ἑαυτοῦ,PRON
2.1,,προσέχοντες,,προσέχω,VERB
2.1,,ἐκζητεῖν,,ἐκζητέω,VERB
2.1,,τὰ,,ὁ,DET
2.1,,δικαιώματα,,δικαίωμα,NOUN
2.1,,κυρίου,.,κύριος,NOUN
2.2,,τῆς,,ὁ,DET
2.2,,οὖν,,οὖν,ADV
2.2,,πίστεως,,πίστις,NOUN
2.2,,ἡμῶν,,ἐγώ,PRON
2.2,,εἰσιν,,εἰμί,AUX
2.2,,βοηθοὶ,,βοηθός,NOUN
2.2,,φόβος,,φόβος,NOUN
2.2,,καὶ,,καί,CCONJ
2.2,,ὑπομονή,",",ὑπομονή,NOUN
2.2,,τὰ,,ὁ,DET
2.2,,δὲ,,δέ,CCONJ
2.2,,συμμαχοῦντα,,συμμαχέω,VERB
2.2,,ἡμῖν,,ἐγώ,PRON
2.2,,μακροθυμία,,μακροθυμία,NOUN
2.2,,καὶ,,καί,CCONJ
2.2,,ἐγκράτεια,·,ἐγκράτεια,NOUN
2.3,,τούτων,,οὗτος,ADJ
2.3,,οὖν,,οὖν,ADV
2.3,,μενόντων,,μένω,VERB
2.3,,τὰ,,ὁ,DET
2.3,,πρὸς,,πρός,ADP
2.3,,κύριον,,κύριος,NOUN
2.3,,ἁγνῶς,",",ἁγνός,ADV
2.3,,συνευφραίνονται,,σύν-εὐφραίνω,VERB
2.3,,αὐτοῖς,,αὐτός,PRON
2.3,,σοφία,",",σοφία,NOUN
2.3,,σύνεσις,",",σύνεσις,NOUN
2.3,,ἐπιστήμη,",",ἐπιστήμη,NOUN
2.3,,γνῶσις,.,γνῶσις,NOUN
2.4,,πεφανέρωκεν,,φανερόω,VERB
2.4,,γὰρ,,γάρ,ADV
2.4,,ἡμῖν,,ἐγώ,PRON
2.4,,διὰ,,διά,ADP
2.4,,πάντων,,πᾶς,ADJ
2.4,,τῶν,,ὁ,DET
2.4,,προφητῶν,",",προφήτης,NOUN
2.4,,ὅτι,,ὅτι,SCONJ
2.4,,οὔτε,,οὔτε,ADV
2.4,,θυσιῶν,,θυσία,NOUN
2.4,,οὔτε,,οὔτε,CCONJ
2.4,,ὁλοκαυτωμάτων,,ὁλοκαύτωμα,NOUN
2.4,,οὔτε,,οὔτε,CCONJ
2.4,,προσφορῶν,,προσφορῶν,NOUN
