reference,leader,word,trailer,lemma,part_of_speech
1.0.0,,Ὅρασις,,ὅρασις,NOUN
1.0.0,,αʹ,,,PUNCT
1.1.1,,Ὁ,,,DET
1.1.1,,θρέψας,,τρέφω,VERB
1.1.1,,με,,ἐγώ,PRON
1.1.1,,πέπρακέν,,πιπράσκω,VERB
1.1.1,,με,,ἐγώ,PRON
1.1.1,,Ῥόδῃ,,Ῥόδη,NOUN
1.1.1,,τινὶ,,τις,PRON
1.1.1,,εἰς,,εἰς,ADP
1.1.1,,Ῥώμην,.,Ῥώμη,NOUN
1.1.1,,μετὰ,,μετά,ADP
1.1.1,,πολλὰ,,πολύς,ADJ
1.1.1,,ἔτη,,ἔτος,NOUN
1.1.1,,ταύτην,,οὗτος,ADJ
1.1.1,,ἀνεγνωρισάμην,,ἀνά-γνωρίζω,VERB
1.1.1,,καὶ,,καί,CCONJ
1.1.1,,ἠρξάμην,,,VERB
1.1.1,,αὐτὴν,,αὐτός,PRON
1.1.1,,ἀγαπᾶν,,ἀγαπάω,VERB
1.1.1,,ὡς,,ὡς,ADV
1.1.1,,ἀδελφήν,.,ἀδελφή,NOUN
1.1.2,,μετὰ,,μετά,ADP
1.1.2,,χρόνον,,χρόνος,NOUN
1.1.2,,τινὰ,,τις,ADJ
1.1.2,,λουομένην,,λούω,VERB
1.1.2,,εἰς,,εἰς,ADP
1.1.2,,τὸν,,ὁ,DET
1.1.2,,ποταμὸν,,ποταμός,NOUN
1.1.2,,τὸν,,ὁ,DET
1.1.2,,Τίβεριν,,Τίβερις,NOUN
1.1.2,,εἶδον,,εἶδον,VERB
1.1.2,,καὶ,,καί,CCONJ
1.1.2,,ἐπέδωκα,,ἐπιδίδωμι,VERB
1.1.2,,αὐτῇ,,αὐτός,PRON
1.1.2,,τὴν,,ὁ,DET
1.1.2,,χεῖρα,,χείρ,NOUN
1.1.2,,καὶ,,καί,CCONJ
1.1.2,,ἐξήγαγον,,ἐξάγω,VERB
1.1.2,,αὐτὴν,,αὐτός,PRON
1.1.2,,ἐκ,,ἐκ,ADP
1.1.2,,τοῦ,,ὁ,DET
1.1.2,,ποταμοῦ,.,ποταμός,NOUN
1.1.2,,ταύτης,,οὗτος,PRON
1.1.2,,οὖν,,οὖν,ADV
1.1.2,,ἰδὼν,,εἶδον,VERB
1.1.2,,τὸ,,ὁ,DET
1.1.2,,κάλλος,,κάλλος,NOUN
1.1.2,,διελογιζόμην,,διαλογίζομαι,VERB
1.1.2,,ἐν,,ἐν,ADP
1.1.2,,τῇ,,ὁ,DET
1.1.2,,καρδίᾳ,,καρδία,NOUN
1.1.2,,μου,,ἐγώ,PRON
1.1.2,,λέγων,·,λέγω,VERB
1.1.2,,Μακάριος,,Μακάριος,ADJ
1.1.2,,ἤμην,",",εἰμί,AUX
1.1.2,,εἰ,,εἰ,SCONJ
1.1.2,,τοιαύτην,,τοιοῦτος,ADJ
1.1.2,,γυναῖκα,,γυνή,NOUN
1.1.2,,εἶχον,,ἔχω,VERB
1.1.2,,καὶ,,καί,ADV
1.1.2,,τῷ,,ὁ,DET
1.1.2,,κάλλει,,κάλλος,NOUN
1.1.2,,καὶ,,καί,CCONJ
1.1.2,,τῷ,,ὁ,DET
1.1.2,,τρόπῳ,.,τρόπος,NOUN
1.1.2,,μόνον,,μόνος,ADJ
1.1.2,,τοῦτο,,οὗτος,PRON
1.1.2,,ἐβουλευσάμην,",",βουλεύω,VERB
1.1.2,,ἕτερον,,ἕτερος,ADJ
1.1.2,,δὲ,,δέ,ADV
1.1.2,,οὐδὲ,,οὐδέ,ADV
1.1.2,,ἕν,.,εἷς,ADJ
1.1.3,,μετὰ,,μετά,ADP
1.1.3,,χρόνον,,χρόνος,NOUN
1.1.3,,τινὰ,,τις,ADJ
1.1.3,,πορευομένου,,πορεύω,VERB
1.1.3,,μου,,ἐγώ,PRON
1.1.3,,εἰς,,εἰς,ADP
1.1.3,,Κώμας,,Κώμη,NOUN
1.1.3,,καὶ,,καί,CCONJ
1.1.3,,δοξάζοντος,,δοξάζω,VERB
1.1.3,,τὰς,,ὁ,DET
1.1.3,,κτίσεις,,κτίσις,NOUN
1.1.3,,τοῦ,,ὁ,DET
1.1.3,,θεοῦ,",",θεός,NOUN
1.1.3,,ὡς,,ὡς,ADV
1.1.3,,μεγάλαι,,μέγας,ADJ
1.1.3,,καὶ,,καί,ADV
1.1.3,,ἐκπρεπεῖς,,ἐκπρεπής,ADJ
1.1.3,,καὶ,,καί,CCONJ
1.1.3,,δυναταί,,δυνατός,VERB
1.1.3,,εἰσιν,",",εἰμί,AUX
1.1.3,,περιπατῶν,,περιπατέω,VERB
1.1.3,,ἀφύπνωσα,.,ἀφυπνόω,VERB
1.1.3,,καὶ,,καί,ADV
1.1.3,,πνεῦμά,,πνεῦμα,NOUN
1.1.3,,με,,ἐγώ,PRON
1.1.3,,ἔλαβεν,,λαμβάνω,VERB
1.1.3,,καὶ,,καί,CCONJ
1.1.3,,ἀπήνεγκέ,,ἀποφέρω,VERB
1.1.3,,με,,ἐγώ,PRON
1.1.3,,δι’,,διά,ADP
1.1.3,,ἀνοδίας,,ἀνοδία,NOUN
1.1.3,,τινός,",",τις,ADJ
1.1.3,,δι’,,διά,ADP
1.1.3,,ἧς,,ὅς,PRON
1.1.3,,ἄνθρωπος,,ἄνθρωπος,NOUN
