reference,leader,word,trailer,lemma,part_of_speech
0.1,,Ἰγνάτιος,",",Ἰγνάτιος,NOUN
0.1,,ὁ,,,DET
0.1,,καὶ,,καί,ADV
0.1,,Θεοφόρος,",",,ADJ
0.1,,ἐκκλησίᾳ,,ἐκκλησία,NOUN
0.1,,θεοῦ,,θεός,NOUN
0.1,,πατρὸς,,πατήρ,NOUN
0.1,,καὶ,,καί,CCONJ
0.1,,τοῦ,,ὁ,DET
0.1,,ἠγαπημένου,,ἀγαπάω,VERB
0.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
0.1,,Χριστοῦ,",",χριστός,NOUN
0.1,,ἠλεημένῃ,,,VERB
0.1,,ἐν,,ἐν,ADP
0.1,,παντὶ,,πᾶς,ADJ
0.1,,χαρίσματι,",",χάρισμα,NOUN
0.1,,πεπληρωμένῃ,,πληρόω,VERB
0.1,,ἐν,,ἐν,ADP
0.1,,πίστει,,πίστις,NOUN
0.1,,καὶ,,καί,CCONJ
0.1,,ἀγάπῃ,",",ἀγάπη,NOUN
0.1,,ἀνυστερήτῳ,,,ADJ
0.1,,οὔσῃ,,εἰμί,AUX
0.1,,παντὸς,,πᾶς,ADJ
0.1,,χαρίσματος,",",χάρισμα,NOUN
0.1,,θεοπρεπεστάτῃ,,θεοπρεπής,ADJ
0.1,,καὶ,,καί,CCONJ
0.1,,ἁγιοφόρῳ,",",,ADJ
0.1,,τῇ,,ὁ,DET
0.1,,οὔσῃ,,εἰμί,AUX
0.1,,ἐν,,ἐν,ADP
0.1,,Σμύρνῃ,,Σμύρνη,NOUN
0.1,,τῆς,,ὁ,DET
0.1,,Ἀσίας,",",Ἀσία,NOUN
0.1,,ἐν,,ἐν,ADP
0.1,,ἀμώμῳ,,,ADJ
0.1,,πνεύματι,,πνεῦμα,NOUN
0.1,,καὶ,,καί,CCONJ
0.1,,λόγῳ,,λόγος,NOUN
0.1,,θεοῦ,,θεός,NOUN
0.1,,πλεῖστα,,πλεῖστος,ADJ
0.1,,χαίρειν,.,χαίρω,VERB
1.1,,Δοξάζω,,δοξάζω,VERB
1.1,,Ἰησοῦν,,Ἰησοῦς,NOUN
1.1,,Χριστὸν,,χριστός,NOUN
1.1,,τὸν,,ὁ,DET
1.1,,θεὸν,,θεός,NOUN
1.1,,τὸν,,ὁ,DET
1.1,,οὕτως,,οὕτως,ADV
1.1,,ὑμᾶς,,σύ,PRON
1.1,,σοφίσαντα,·,σοφίζω,VERB
1.1,,ἐνόησα,,νοέω,VERB
1.1,,γὰρ,,γάρ,ADV
1.1,,ὑμᾶς,,σύ,PRON
1.1,,κατηρτισμένους,,καταρτίζω,VERB
1.1,,ἐν,,ἐν,ADP
1.1,,ἀκινήτῳ,,ἀκίνητος,ADJ
1.1,,πίστει,",",πίστις,NOUN
1.1,,ὥσπερ,,ὥσπερ,ADV
1.1,,καθηλωμένους,,καθηλόω,VERB
1.1,,ἐν,,ἐν,ADP
1.1,,τῷ,,ὁ,DET
1.1,,σταυρῷ,,σταυρός,NOUN
1.1,,τοῦ,,ὁ,DET
1.1,,κυρίου,,κύριος,NOUN
1.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
1.1,,Χριστοῦ,,χριστός,PROPN
1.1,,σαρκί,,σάρξ,NOUN
1.1,,τε,,τε,ADV
1.1,,καὶ,,καί,CCONJ
1.1,,πνεύματι,,πνεῦμα,NOUN
1.1,,καὶ,,καί,CCONJ
1.1,,ἡδρασμένους,,ἑδράζω,VERB
1.1,,ἐν,,ἐν,ADP
1.1,,ἀγάπῃ,,ἀγάπη,NOUN
1.1,,ἐν,,ἐν,ADP
1.1,,τῷ,,ὁ,DET
1.1,,αἵματι,,αἷμα,NOUN
1.1,,Χριστοῦ,",",χριστός,NOUN
1.1,,πεπληροφορημένους,,πληροφορέω,VERB
1.1,,εἰς,,εἰς,ADP
1.1,,τὸν,,ὁ,DET
1.1,,κύριον,,κύριος,NOUN
1.1,,ἡμῶν,",",ἐγώ,PRON
1.1,,ἀληθῶς,,ἀληθής,ADV
1.1,,ὄντα,,εἰμί,AUX
1.1,,ἐκ,,ἐκ,ADP
1.1,,γένους,,γένος,NOUN
1.1,,Δαυεὶδ,,Δαυίδ,NOUN
1.1,,κατὰ,,κατά,ADP
1.1,,σάρκα,",",σάρξ,NOUN
1.1,,υἱὸν,,υἱός,NOUN
1.1,,θεοῦ,,θεός,NOUN
1.1,,κατὰ,,κατά,ADP
1.1,,θέλημα,,θέλημα,NOUN
1.1,,καὶ,,καί,CCONJ
1.1,,δύναμιν,,δύναμις,NOUN
1.1,,θεοῦ,",",θεός,NOUN
1.1,,γεγεννημένον,,γεννάω,VERB
1.1,,ἀληθῶς,,ἀληθής,ADV
1.1,,ἐκ,,ἐκ,ADP
1.1,,παρθένου,",",παρθένος,NOUN
1.1,,βεβαπτισμένον,,βαπτίζω,VERB
1.1,,ὑπὸ,,ὑπό,ADP
1.1,,Ἰωάννου,",",Ἰώαννης,PROPN
1.1,,ἵνα,,ἵνα,SCONJ
1.1,,πληρωθῇ,,πληρόω,VERB
1.1,,πᾶσα,,πᾶς,ADJ
1.1,,δικαιοσύνη,,δικαιοσύνη,NOUN
1.1,,ὑπ’,,ὑπό,ADP
1.1,,αὐτοῦ,·,αὐτός,PRON
1.2,,ἀληθῶς,,ἀληθής,ADV
1.2,,ἐπὶ,,ἐπί,ADP
1.2,,Ποντίου,,πόντιος,PROPN
1.2,,Πιλάτου,,Πιλάτης,PROPN
1.2,,καὶ,,καί,CCONJ
1.2,,Ἡρώδου,,Ἡρώδης,NOUN
1.2,,τετράρχου,,τετράρχης,NOUN
1.2,,καθηλωμένον,,καθηλόω,VERB
1.2,,ὑπὲρ,,ὑπέρ,ADP
1.2,,ἡμῶν,,ἐγώ,PRON
1.2,,ἐν,,ἐν,ADP
1.2,,σαρκί,",",σάρξ,NOUN
1.2,,ἀφ’,,ἀπό,ADP
1.2,,οὗ,,ὅς,PRON
1.2,,καρποῦ,,καρπός,NOUN
1.2,,ἡμεῖς,,ἐγώ,PRON
1.2,,ἀπὸ,,ἀπό,ADP
1.2,,τοῦ,,ὁ,DET
1.2,,θεομακαρίστου,,,ADJ
1.2,,αὐτοῦ,,αὐτός,PRON
1.2,,πάθους,",",πάθος,NOUN
1.2,,ἵνα,,ἵνα,SCONJ
1.2,,ἄρῃ,,,VERB
1.2,,σύσσημον,,σύσσημον,NOUN
1.2,,εἰς,,εἰς,ADP
1.2,,τοὺς,,ὁ,DET
1.2,,αἰῶνας,,αἰών,NOUN
1.2,,διὰ,,διά,ADP
1.2,,τῆς,,ὁ,DET
1.2,,ἀναστάσεως,,ἀνάστασις,NOUN
1.2,,εἰς,,εἰς,ADP
1.2,,τοὺς,,ὁ,DET
1.2,,ἁγίους,,ἅγιος,ADJ
1.2,,καὶ,,καί,CCONJ
1.2,,πιστοὺς,,πιστός,ADJ
1.2,,αὐτοῦ,",",αὐτός,PRON
1.2,,εἴτε,,εἴτε,CCONJ
1.2,,ἐν,,ἐν,ADP
1.2,,Ἰουδαίοις,,Ἰουδαῖος,ADJ
1.2,,εἴτε,,εἴτε,CCONJ
1.2,,ἐν,,ἐν,ADP
1.2,,ἔθνεσιν,",",ἔθνος,NOUN
1.2,,ἐν,,ἐν,ADP
1.2,,ἑνὶ,,εἷς,NUM
1.2,,σώματι,,σῶμα,NOUN
1.2,,τῆς,,ὁ,DET
1.2,,ἐκκλησίας,,ἐκκλησία,NOUN
1.2,,αὐτοῦ,.,αὐτός,PRON
2.1,,Ταῦτα,,οὗτος,ADJ
2.1,,γὰρ,,γάρ,ADV
2.1,,πάντα,,πᾶς,ADJ
2.1,,ἔπαθεν,,πάσχω,VERB
2.1,,δι’,,διά,ADP
2.1,,ἡμᾶς,",",ἐγώ,PRON
2.1,,ἵνα,,ἵνα,SCONJ
2.1,,σωθῶμεν,·,σώζω,VERB
2.1,,καὶ,,καί,ADV
2.1,,ἀληθῶς,,ἀληθής,ADV
2.1,,ἔπαθεν,",",πάσχω,VERB
2.1,,ὡς,,ὡς,ADV
