reference,leader,word,trailer,lemma,part_of_speech
1.1,,Ἀδελφοί,",",ἀδελφός,NOUN
1.1,,οὕτως,,οὕτως,ADV
1.1,,δεῖ,,δεῖ,VERB
1.1,,ἡμᾶς,,ἐγώ,PRON
1.1,,φρονεῖν,,φρονέω,VERB
1.1,,περὶ,,περί,ADP
1.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
1.1,,Χριστοῦ,",",χριστός,NOUN
1.1,,ὡς,,ὡς,ADV
1.1,,περὶ,,περί,ADP
1.1,,θεοῦ,",",θεός,NOUN
1.1,,ὡς,,ὡς,ADV
1.1,,περὶ,,περί,ADP
1.1,,κριτοῦ,,κριτός,NOUN
1.1,,ζώντων,,ζάω,VERB
1.1,,καὶ,,καί,CCONJ
1.1,,νεκρῶν,·,νεκρός,ADJ
1.1,,καὶ,,καί,CCONJ
1.1,,οὐ,,οὐ,ADV
1.1,,δεῖ,,δεῖ,VERB
1.1,,ἡμᾶς,,ἐγώ,PRON
1.1,,μικρὰ,,μικρός,ADJ
1.1,,φρονεῖν,,φρονέω,VERB
1.1,,περὶ,,περί,ADP
1.1,,τῆς,,ὁ,DET
1.1,,σωτηρίας,,σωτηρία,NOUN
1.1,,ἡμῶν,.,ἐγώ,PRON
1.2,,ἐν,,ἐν,ADP
1.2,,τῷ,,ὁ,DET
1.2,,γὰρ,,γάρ,ADV
1.2,,φρονεῖν,,φρονέω,VERB
1.2,,ἡμᾶς,,ἐγώ,PRON
1.2,,μικρὰ,,μικρός,ADJ
1.2,,περὶ,,περί,ADP
1.2,,αὐτοῦ,",",αὐτός,PRON
1.2,,μικρὰ,,μικρός,ADJ
1.2,,καὶ,,καί,ADV
1.2,,ἐλπίζομεν,,ἐλπίζω,VERB
1.2,,λαβεῖν,·,λαμβάνω,VERB
1.2,,καὶ,,καί,CCONJ
1.2,,οἱ,,ὁ,DET
1.2,,ἀκούοντες,,ἀκούω,VERB
1.2,,ὡς,,ὡς,ADV
1.2,,περὶ,,περί,ADP
1.2,,μικρῶν,,μικρός,ADJ
1.2,,ἁμαρτάνουσιν,",",ἁμαρτάνω,VERB
1.2,,καὶ,,καί,ADV
1.2,,ἡμεῖς,,ἐγώ,PRON
1.2,,ἁμαρτάνομεν,,ἁμαρτάνω,VERB
1.2,,οὐκ,,οὐ,ADV
1.2,,εἰδότες,",",οἶδα,VERB
1.2,,πόθεν,,πόθεν,ADV
1.2,,ἐκλήθημεν,,καλέω,VERB
1.2,,καὶ,,καί,CCONJ
1.2,,ὑπὸ,,ὑπό,ADP
