reference,leader,word,trailer,lemma,part_of_speech
0.1,,Ἡ,,ὁ,DET
0.1,,ἐκκλησία,,ἐκκλησία,NOUN
0.1,,τοῦ,,ὁ,DET
0.1,,θεοῦ,,θεός,NOUN
0.1,,ἡ,,ὁ,DET
0.1,,παροικοῦσα,,παροικέω,VERB
0.1,,Σμύρναν,,Σμύρνα,NOUN
0.1,,τῇ,,ὁ,DET
0.1,,ἐκκλησίᾳ,,ἐκκλησία,NOUN
0.1,,τοῦ,,ὁ,DET
0.1,,θεοῦ,,θεός,NOUN
0.1,,τῇ,,ὁ,DET
0.1,,παροικούσῃ,,παροικέω,VERB
0.1,,ἐν,,ἐν,ADP
0.1,,Φιλομηλίῳ,,Φιλομήλιον,NOUN
0.1,,καὶ,,καί,CCONJ
0.1,,πάσαις,,πᾶς,DET
0.1,,ταῖς,,ὁ,DET
0.1,,κατὰ,,κατά,ADP
0.1,,πάντα,,πᾶς,ADJ
0.1,,τόπον,,τόπος,NOUN
0.1,,τῆς,,ὁ,DET
0.1,,ἁγίας,,ἅγιος,ADJ
0.1,,καὶ,,καί,CCONJ
0.1,,καθολικῆς,,καθολικός,ADJ
0.1,,ἐκκλησίας,,ἐκκλησία,NOUN
0.1,,παροικίαις,·,παροικία,NOUN
0.1,,ἔλεος,",",ἔλεος,NOUN
0.1,,εἰρήνη,,εἰρήνη,NOUN
0.1,,καὶ,,καί,CCONJ
0.1,,ἀγάπη,,ἀγάπη,NOUN
0.1,,θεοῦ,,θεός,NOUN
0.1,,πατρὸς,,πατήρ,NOUN
0.1,,καὶ,,καί,CCONJ
0.1,,κυρίου,,κύριος,NOUN
0.1,,ἡμῶν,,ἐγώ,PRON
0.1,,Ἰησοῦ,,Ἰησοῦς,NOUN
0.1,,Χριστοῦ,,χριστός,NOUN
0.1,,πληθυνθείη,.,πληθύνω,VERB
1.1,,Ἐγράψαμεν,,γράφω,VERB
1.1,,ὑμῖν,",",σύ,PRON
1.1,,ἀδελφοί,",",ἀδελφός,NOUN
1.1,,τὰ,,ὁ,DET
1.1,,κατὰ,,κατά,ADP
1.1,,τοὺς,,ὁ,DET
1.1,,μαρτυρήσαντας,,μαρτυρέω,VERB
1.1,,καὶ,,καί,CCONJ
1.1,,τὸν,,ὁ,DET
1.1,,μακάριον,,μακάριος,ADJ
1.1,,Πολύκαρπον,",",Πολύκαρπος,NOUN
1.1,,ὅστις,,ὅστις,PRON
1.1,,ὥσπερ,,ὥσπερ,ADV
1.1,,ἐπισφραγίσας,,ἐπισφραγίζω,VERB
1.1,,διὰ,,διά,ADP
1.1,,τῆς,,ὁ,DET
1.1,,μαρτυρίας,,μαρτυρία,NOUN
1.1,,αὐτοῦ,,αὐτός,PRON
1.1,,κατέπαυσεν,,καταπαύω,VERB
1.1,,τὸν,,ὁ,DET
1.1,,διωγμόν,.,διωγμός,NOUN
1.1,,σχεδὸν,,σχεδόν,ADV
1.1,,γὰρ,,γάρ,ADV
1.1,,πάντα,,πᾶς,ADJ
1.1,,τὰ,,ὁ,DET
1.1,,προάγοντα,,προάγω,VERB
1.1,,ἐγένετο,",",γίγνομαι,VERB
1.1,,ἵνα,,ἵνα,SCONJ
1.1,,ἡμῖν,,ἐγώ,PRON
1.1,,ὁ,,ὁ,DET
1.1,,κύριος,,κύριος,NOUN
1.1,,ἄνωθεν,,ἄνωθεν,ADV
1.1,,ἐπιδείξῃ,,ἐπιδείξῃ,VERB
1.1,,τὸ,,ὁ,DET
1.1,,κατὰ,,κατά,ADP
1.1,,τὸ,,ὁ,DET
1.1,,εὐαγγέλιον,,εὐαγγέλιον,NOUN
1.1,,μαρτύριον,.,μαρτύριον,NOUN
1.2,,περιέμενεν,,περιμένω,VERB
1.2,,γάρ,",",γάρ,ADV
1.2,,ἵνα,,ἵνα,SCONJ
1.2,,παραδοθῇ,",",παραδίδωμι,VERB
1.2,,ὡς,,ὡς,ADV
1.2,,καὶ,,καί,ADV
1.2,,ὁ,,ὁ,DET
1.2,,κύριος,",",κύριος,NOUN
1.2,,ἵνα,,ἵνα,SCONJ
1.2,,μιμηταὶ,,μιμητής,NOUN
1.2,,καὶ,,καί,CCONJ
1.2,,ἡμεῖς,,ἐγώ,PRON
1.2,,αὐτοῦ,,αὐτός,PRON
1.2,,γενώμεθα,",",γίγνομαι,VERB
1.2,,μὴ,,μή,ADV
1.2,,μόνον,,μόνος,ADJ
1.2,,σκοποῦντες,,σκοπέω,VERB
1.2,,τὸ,,ὁ,DET
1.2,,καθ’,,κατά,ADP
1.2,,ἑαυτούς,",",ἑαυτοῦ,PRON
1.2,,ἀλλὰ,,ἀλλά,CCONJ
1.2,,καὶ,,καί,ADV
1.2,,τὸ,,ὁ,DET
1.2,,κατὰ,,κατά,ADP
1.2,,τοὺς,,ὁ,DET
1.2,,πέλας,.,πέλας,ADV
1.2,,ἀγάπης,,ἀγάπη,NOUN
1.2,,γὰρ,,γάρ,ADV
1.2,,ἀληθοῦς,,ἀληθής,ADJ
1.2,,καὶ,,καί,CCONJ
1.2,,βεβαίας,,βέβαιος,ADJ
1.2,,ἐστίν,",",εἰμί,AUX
1.2,,μὴ,,μή,ADV
1.2,,μόνον,,μόνος,ADJ
1.2,,ἑαυτὸν,,ἑαυτοῦ,PRON
1.2,,θέλειν,,ἐθέλω,VERB
1.2,,σώζεσθαι,",",σώζω,VERB
1.2,,ἀλλὰ,,ἀλλά,CCONJ
1.2,,καὶ,,καί,ADV
1.2,,πάντας,,πᾶς,ADJ
1.2,,τοὺς,,ὁ,DET
1.2,,ἀδελφούς,.,ἀδελφός,NOUN
2.1,,Μακάρια,,μακάριος,ADJ
2.1,,μὲν,,μέν,ADV
2.1,,οὖν,,οὖν,ADV
2.1,,καὶ,,καί,ADV
2.1,,γενναῖα,,γενναῖος,ADJ
2.1,,τὰ,,ὁ,DET
2.1,,μαρτύρια,,μαρτύριον,NOUN
2.1,,πάντα,,πᾶς,ADJ
2.1,,τὰ,,ὁ,DET
2.1,,κατὰ,,κατά,ADP
2.1,,τὸ,,ὁ,DET
2.1,,θέλημα,,θέλημα,NOUN
2.1,,τοῦ,,ὁ,DET
2.1,,θεοῦ,,θεός,NOUN
2.1,,γεγονότα,.,γίγνομαι,VERB
2.1,,δεῖ,,δεῖ,VERB
2.1,,γὰρ,,γάρ,ADV
2.1,,εὐλαβεστέρους,,εὐλαβής,ADJ
2.1,,ἡμᾶς,,ἐγώ,PRON
2.1,,ὑπάρχοντας,,ὑπάρχω,VERB
2.1,,τῷ,,ὁ,DET
2.1,,θεῷ,,θεός,NOUN
2.1,,τὴν,,ὁ,DET
2.1,,κατὰ,,κατά,ADP
2.1,,πάντων,,πᾶς,ADJ
2.1,,ἐξουσίαν,,ἐξουσία,NOUN
2.1,,ἀνατιθέναι,.,ἀνατίθημι,VERB
2.2,,τὸ,,ὁ,DET
2.2,,γὰρ,,γάρ,ADV
2.2,,γενναῖον,,γενναῖος,ADJ
2.2,,αὐτῶν,,αὐτός,PRON
2.2,,καὶ,,καί,ADV
2.2,,ὑπομονητικὸν,,ὑπομονητικός,ADJ
2.2,,καὶ,,καί,CCONJ
2.2,,φιλοδέσποτον,,φιλοδέσποτος,ADJ
2.2,,τίς,,τις,PRON
2.2,,οὐκ,,οὐ,ADV
2.2,,ἂν,,ἄν,ADV
2.2,,θαυμάσειεν,;,θαυμάζω,VERB
2.2,,οἳ,,ὁ,DET
2.2,,μάστιξιν,,μάστιξ,NOUN
2.2,,μὲν,,μέν,ADV
2.2,,καταξανθέντες,",",καταξαίνω,VERB
2.2,,ὥστε,,ὥστε,SCONJ
2.2,,μέχρι,,μέχρι,ADP
2.2,,τῶν,,ὁ,DET
2.2,,ἔσω,,ἔσω,ADV
2.2,,φλεβῶν,,φλεβά,NOUN
2.2,,καὶ,,καί,CCONJ
2.2,,ἀρτηριῶν,,ἀρτηρία,NOUN
2.2,,τὴν,,ὁ,DET
2.2,,τῆς,,ὁ,DET
2.2,,σαρκὸς,,σάρξ,NOUN
2.2,,οἰκονομίαν,,οἰκονομία,NOUN
2.2,,θεωρεῖσθαι,",",θεωρέω,VERB
2.2,,ὑπέμειναν,",",ὑπομένω,VERB
2.2,,ὡς,,ὡς,ADV
2.2,,καὶ,,καί,ADV
2.2,,τοὺς,,ὁ,DET
2.2,,περιεστῶτας,,περιίστημι,VERB
2.2,,ἐλεεῖν,,ἐλεέω,VERB
2.2,,καὶ,,καί,CCONJ
2.2,,ὀδύρεσθαι,·,ὀδύρομαι,VERB
2.2,,τοὺς,,ὁ,DET
2.2,,δὲ,,δέ,ADV
2.2,,καὶ,,καί,ADV
2.2,,εἰς,,εἰς,ADP
2.2,,τοσοῦτον,,τοσοῦτος,ADJ
2.2,,γενναιότητος,,γενναιότης,NOUN
2.2,,ἐλθεῖν,",",ἔρχομαι,VERB
2.2,,ὥστε,,ὥστε,SCONJ
2.2,,μήτε,,μήτε,ADV
2.2,,γρύξαι,,γρύζω,VERB
2.2,,μήτε,,μήτε,CCONJ
2.2,,στενάξαι,,στενάζω,VERB
2.2,,τινὰ,,τις,PRON
2.2,,αὐτῶν,",",αὐτός,PRON
2.2,,ἐπιδεικνυμένους,,ἐπιδείκνυμι,VERB
2.2,,ἅπασιν,,ἅπας,ADJ
2.2,,ἡμῖν,",",ἐγώ,PRON
2.2,,ὅτι,,ὅτι,SCONJ
