reference,leader,word,trailer,lemma,part_of_speech
0.1,,Ἰγνάτιος,",",Ἰγνάτιος,NOUN
0.1,,ὁ,,,DET
0.1,,καὶ,,καί,ADV
0.1,,Θεοφόρος,",",,ADJ
0.1,,Πολυκάρπῳ,,,NOUN
0.1,,ἐπισκόπῳ,,ἐπίσκοπος,NOUN
0.1,,ἐκκλησίας,,ἐκκλησία,NOUN
0.1,,Σμυρναίων,",",Σμυρναῖος,NOUN
0.1,,μᾶλλον,,μᾶλλον,ADV
0.1,,ἐπισκοπημένῳ,,ἐπί-σκοπάω,VERB
0.1,,ὑπὸ,,ὑπό,ADP
0.1,,θεοῦ,,θεός,NOUN
0.1,,πατρὸς,,πατήρ,NOUN
0.1,,καὶ,,καί,CCONJ
0.1,,κυρίου,,κύριος,NOUN
0.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
0.1,,Χριστοῦ,",",χριστός,PROPN
0.1,,πλεῖστα,,πλεῖστος,ADJ
0.1,,χαίρειν,.,χαίρω,VERB
1.1,,Ἀποδεχόμενός,,ἀποδέχομαι,VERB
1.1,,σου,,σύ,PRON
1.1,,τὴν,,ὁ,DET
1.1,,ἐν,,ἐν,ADP
1.1,,θεῷ,,θεός,NOUN
1.1,,γνώμην,,γνώμη,NOUN
1.1,,ἡδρασμένην,,ἑδράζω,VERB
1.1,,ὡς,,ὡς,ADV
1.1,,ἐπὶ,,ἐπί,ADP
1.1,,πέτραν,,πέτρα,NOUN
1.1,,ἀκίνητον,",",ἀκίνητος,ADJ
1.1,,ὑπερδοξάζω,",",ὑπέρ-δοξάζω,VERB
1.1,,καταξιωθεὶς,,καταξιόω,VERB
1.1,,τοῦ,,ὁ,DET
1.1,,προσώπου,,πρόσωπον,NOUN
1.1,,σου,,σύ,PRON
1.1,,τοῦ,,ὁ,DET
1.1,,ἀμώμου,",",,ADJ
1.1,,οὗ,,ὅς,PRON
1.1,,ὀναίμην,,ὀνίνημι,VERB
1.1,,ἐν,,ἐν,ADP
1.1,,θεῷ,.,θεός,NOUN
1.2,,παρακαλῶ,,παρακαλέω,VERB
1.2,,σε,,σύ,PRON
1.2,,ἐν,,ἐν,ADP
1.2,,χάριτι,,χάρις,NOUN
1.2,,ᾗ,,,CCONJ
1.2,,ἐνδέδυσαι,",",ἐνδύω,VERB
1.2,,προσθεῖναι,,προστίθημι,VERB
1.2,,τῷ,,ὁ,DET
1.2,,δρόμῳ,,δρόμος,NOUN
1.2,,σου,,σύ,PRON
1.2,,καὶ,,καί,CCONJ
1.2,,πάντας,,πᾶς,ADJ
1.2,,παρακαλεῖν,",",παρακαλέω,VERB
1.2,,ἵνα,,ἵνα,SCONJ
1.2,,σώζωνται,.,σώζω,VERB
1.2,,ἐκδίκει,,ἐκδικέω,VERB
1.2,,σου,,σύ,PRON
1.2,,τὸν,,ὁ,DET
1.2,,τόπον,,τόπος,NOUN
1.2,,ἐν,,ἐν,ADP
1.2,,πάσῃ,,πᾶς,ADJ
1.2,,ἐπιμελείᾳ,,ἐπιμέλεια,NOUN
1.2,,σαρκικῇ,,σαρκικός,ADJ
1.2,,τε,,τε,ADV
1.2,,καὶ,,καί,CCONJ
1.2,,πνευματικῇ,·,πνευματικός,ADJ
1.2,,τῆς,,ὁ,DET
1.2,,ἑνώσεως,,ἕνωσις,NOUN
1.2,,φρόντιζε,",",φροντίζω,VERB
1.2,,ἧς,,ὅς,PRON
1.2,,οὐδὲν,,οὐδείς,ADJ
1.2,,ἄμεινον,.,ἀμείνων,ADJ
1.2,,πάντας,,πᾶς,ADJ
1.2,,βάσταζε,",",βαστάζω,VERB
1.2,,ὡς,,ὡς,ADV
1.2,,καὶ,,καί,ADV
1.2,,σὲ,,σύ,PRON
1.2,,ὁ,,,DET
1.2,,κύριος,·,κύριος,NOUN
1.2,,πάντων,,πᾶς,ADJ
1.2,,ἀνέχου,,ἀνέχω,VERB
1.2,,ἐν,,ἐν,ADP
1.2,,ἀγάπῃ,",",ἀγάπη,NOUN
1.2,,ὥσπερ,,ὥσπερ,ADV
1.2,,καὶ,,καί,ADV
1.2,,ποιεῖς,.,ποιέω,VERB
1.3,,προσευχαῖς,,προσευχή,NOUN
1.3,,σχόλαζε,,σχολάζω,VERB
1.3,,ἀδιαλείπτοις,·,ἀδιάλειπτος,ADJ
1.3,,αἰτοῦ,,αἰτέω,VERB
1.3,,σύνεσιν,,σύνεσις,NOUN
1.3,,πλείονα,,πλείων,ADJ
1.3,,ἧς,,ὅς,PRON
1.3,,ἔχεις,·,ἔχω,VERB
1.3,,γρηγόρει,,γρηγορέω,VERB
1.3,,ἀκοίμητον,,ἀκοίμητος,ADJ
1.3,,πνεῦμα,,πνεῦμα,NOUN
1.3,,κεκτημένος,.,,VERB
1.3,,τοῖς,,ὁ,DET
1.3,,κατ’,,κατά,ADP
1.3,,ἄνδρα,,ἀνήρ,NOUN
1.3,,κατὰ,,κατά,ADP
1.3,,ὁμοήθειαν,,ὁμοήθεια,NOUN
1.3,,θεοῦ,,θεός,NOUN
1.3,,λάλει,·,λαλέω,VERB
1.3,,πάντων,,πᾶς,ADJ
1.3,,τὰς,,ὁ,DET
1.3,,νόσους,,νόσος,NOUN
1.3,,βάσταζε,,βαστάζω,VERB
1.3,,ὡς,,ὡς,ADV
1.3,,τέλειος,,τέλειος,ADJ
1.3,,ἀθλητής,.,ἀθλητής,NOUN
1.3,,ὅπου,,ὅπου,ADV
1.3,,πλείων,,πλείων,ADJ
1.3,,κόπος,",",κόπος,NOUN
1.3,,πολὺ,,πολύς,ADJ
1.3,,κέρδος,.,κέρδος,NOUN
2.1,,Καλοὺς,,καλός,ADJ
2.1,,μαθητὰς,,μαθητής,NOUN
2.1,,ἐὰν,,ἐάν,SCONJ
2.1,,φιλῇς,",",φιλέω,ADJ
2.1,,χάρις,,χάρις,NOUN
2.1,,σοι,,σύ,PRON
2.1,,οὐκ,,οὐ,ADV
2.1,,ἔστιν,·,εἰμί,AUX
2.1,,μᾶλλον,,μᾶλλον,ADV
2.1,,τοὺς,,ὁ,DET
2.1,,λοιμοτέρους,,,ADJ
2.1,,ἐν,,ἐν,ADP
2.1,,πραότητι,,πραότης,NOUN
2.1,,ὑπότασσε,.,ὑποτάσσω,VERB
2.1,,οὐ,,οὐ,ADV
2.1,,πᾶν,,πᾶς,ADJ
2.1,,τραῦμα,,τραῦμα,NOUN
2.1,,τῇ,,ὁ,DET
2.1,,αὐτῇ,,αὐτός,ADJ
2.1,,ἐμπλάστρῳ,,,NOUN
2.1,,θεραπεύεται,.,θεραπεύω,VERB
2.1,,τοὺς,,ὁ,DET
2.1,,παροξυσμοὺς,,παροξυσμός,NOUN
2.1,,ἐμβροχαῖς,,ἐμβροχή,ADJ
2.1,,παῦε,.,παύω,VERB
2.2,,φρόνιμος,,φρόνιμος,ADJ
2.2,,γίνου,,γίγνομαι,VERB
2.2,,ὡς,,ὡς,ADV
2.2,,ὁ,,,DET
2.2,,ὄφις,,ὄφις,NOUN
2.2,,ἐν,,ἐν,ADP
2.2,,ἅπασιν,,ἅπας,ADJ
2.2,,καὶ,,καί,CCONJ
2.2,,ἀκέραιος,,ἀκέραιος,ADJ
2.2,,εἰς,,εἰς,ADP
2.2,,ἀεὶ,,ἀεί,ADV
2.2,,ὡς,,ὡς,ADV
2.2,,ἡ,,,DET
2.2,,περιστερά,.,περιστερά,NOUN
2.2,,διὰ,,διά,ADP
2.2,,τοῦτο,,οὗτος,PRON
2.2,,σαρκικὸς,,σαρκικός,ADJ
2.2,,εἶ,,εἰμί,AUX
2.2,,καὶ,,καί,ADV
2.2,,πνευματικός,",",πνευματικός,ADJ
2.2,,ἵνα,,ἵνα,SCONJ
2.2,,τὰ,,ὁ,DET
2.2,,φαινόμενά,,φαίνω,VERB
2.2,,σου,,σύ,PRON
2.2,,εἰς,,εἰς,ADP
2.2,,πρόσωπον,,πρόσωπον,NOUN
2.2,,κολακεύῃς,·,κολακεύω,VERB
2.2,,τὰ,,ὁ,DET
2.2,,δὲ,,δέ,ADV
2.2,,ἀόρατα,,ἀόρατος,ADJ
