reference,leader,word,trailer,lemma,part_of_speech
0.1,,Ἰγνάτιος,",",Ἰγνάτιος,NOUN
0.1,,ὁ,,ὁ,DET
0.1,,καὶ,,καί,CCONJ
0.1,,Θεοφόρος,",",Θεοφόρος,ADJ
0.1,,ἐκκλησίᾳ,,ἐκκλησία,NOUN
0.1,,θεοῦ,,θεός,NOUN
0.1,,πατρὸς,,πατήρ,NOUN
0.1,,καὶ,,καί,CCONJ
0.1,,κυρίου,,κύριος,NOUN
0.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
0.1,,Χριστοῦ,,χριστός,PROPN
0.1,,τῇ,,ὁ,DET
0.1,,οὔσῃ,,εἰμί,AUX
0.1,,ἐν,,ἐν,ADP
0.1,,Φιλαδελφίᾳ,,φιλαδελφία,NOUN
0.1,,τῆς,,ὁ,DET
0.1,,Ἀσίας,",",Ἀσία,NOUN
0.1,,ἠλεημένῃ,,ἠλεημένῃ,VERB
0.1,,καὶ,,καί,CCONJ
0.1,,ἡδρασμένῃ,,ἑδράζω,VERB
0.1,,ἐν,,ἐν,ADP
0.1,,ὁμονοίᾳ,,ὁμόνοια,NOUN
0.1,,θεοῦ,,θεός,NOUN
0.1,,καὶ,,καί,CCONJ
0.1,,ἀγαλλιωμένῃ,,ἀγαλλιάω,VERB
0.1,,ἐν,,ἐν,ADP
0.1,,τῷ,,ὁ,DET
0.1,,πάθει,,πάθος,NOUN
0.1,,τοῦ,,ὁ,DET
0.1,,κυρίου,,κύριος,NOUN
0.1,,ἡμῶν,,ἐγώ,PRON
0.1,,ἀδιακρίτως,,ἀδιάκριτος,ADV
0.1,,καὶ,,καί,CCONJ
0.1,,ἐν,,ἐν,ADP
0.1,,τῇ,,ὁ,DET
0.1,,ἀναστάσει,,ἀνάστασις,NOUN
0.1,,αὐτοῦ,,αὐτός,PRON
0.1,,πεπληροφορημένῃ,,πληροφορέω,VERB
0.1,,ἐν,,ἐν,ADP
0.1,,παντὶ,,πᾶς,ADJ
0.1,,ἐλέει,",",ἔλεος,NOUN
0.1,,ἣν,,ὅς,PRON
0.1,,ἀσπάζομαι,,ἀσπάζομαι,VERB
0.1,,ἐν,,ἐν,ADP
0.1,,αἵματι,,αἷμα,NOUN
0.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
0.1,,Χριστοῦ,",",χριστός,PROPN
0.1,,ἥτις,,ὅστις,PRON
0.1,,ἐστὶν,,εἰμί,AUX
0.1,,χαρὰ,,χαρά,NOUN
0.1,,αἰώνιος,,αἰώνιος,ADJ
0.1,,καὶ,,καί,CCONJ
0.1,,παράμονος,",",παράμονος,ADJ
0.1,,μάλιστα,,μάλιστα,ADV
0.1,,ἐὰν,,ἐάν,SCONJ
0.1,,ἐν,,ἐν,ADP
0.1,,ἑνὶ,,εἷς,NOUN
0.1,,ὦσιν,,εἰμί,AUX
0.1,,σὺν,,σύν,ADP
0.1,,τῷ,,ὁ,DET
0.1,,ἐπισκόπῳ,,ἐπίσκοπος,NOUN
0.1,,καὶ,,καί,CCONJ
0.1,,τοῖς,,ὁ,DET
0.1,,σὺν,,σύν,ADP
0.1,,αὐτῷ,,αὐτός,PRON
0.1,,πρεσβυτέροις,,πρέσβυς,ADJ
0.1,,καὶ,,καί,CCONJ
0.1,,διακόνοις,,διάκονος,NOUN
0.1,,ἀποδεδειγμένοις,,ἀποδείκνυμι,VERB
0.1,,ἐν,,ἐν,ADP
0.1,,γνώμῃ,,γνώμη,NOUN
0.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
0.1,,Χριστοῦ,",",χριστός,PROPN
0.1,,οὓς,,ὅς,PRON
0.1,,κατὰ,,κατά,ADP
0.1,,τὸ,,ὁ,DET
0.1,,ἴδιον,,ἴδιος,ADJ
0.1,,θέλημα,,θέλημα,NOUN
0.1,,ἐστήριξεν,,στηρίζω,VERB
0.1,,ἐν,,ἐν,ADP
0.1,,βεβαιωσύνῃ,,βεβαιωσύνη,NOUN
0.1,,τῷ,,ὁ,DET
0.1,,ἁγίῳ,,ἅγιος,ADJ
0.1,,αὐτοῦ,,αὐτός,PRON
0.1,,πνεύματι,.,πνεῦμα,NOUN
1.1,,Ὃν,,ὅς,PRON
1.1,,ἐπίσκοπον,,ἐπίσκοπος,NOUN
1.1,,ἔγνων,,γιγνώσκω,VERB
1.1,,οὐκ,,οὐ,ADV
1.1,,ἀφ’,,ἀπό,ADP
1.1,,ἑαυτοῦ,,ἑαυτοῦ,PRON
1.1,,οὐδὲ,,οὐδέ,CCONJ
1.1,,δι’,,διά,ADP
1.1,,ἀνθρώπων,,ἄνθρωπος,NOUN
1.1,,κεκτῆσθαι,,κατέω,VERB
1.1,,τὴν,,ὁ,DET
1.1,,διακονίαν,,διακονία,NOUN
1.1,,τὴν,,ὁ,DET
1.1,,εἰς,,εἰς,ADP
1.1,,τὸ,,ὁ,DET
1.1,,κοινὸν,,κοινός,ADJ
1.1,,ἀνήκουσαν,,ἀνήκω,VERB
1.1,,οὐδὲ,,οὐδέ,CCONJ
1.1,,κατὰ,,κατά,ADP
1.1,,κενοδοξίαν,",",κενοδοξία,NOUN
1.1,,ἀλλ’,,ἀλλά,CCONJ
1.1,,ἐν,,ἐν,ADP
1.1,,ἀγάπῃ,,ἀγάπη,NOUN
1.1,,θεοῦ,,θεός,NOUN
1.1,,πατρὸς,,πατήρ,NOUN
1.1,,καὶ,,καί,CCONJ
1.1,,κυρίου,,κύριος,NOUN
1.1,,Ἰησοῦ,,Ἰησοῦς,PROPN
1.1,,Χριστοῦ,·,χριστός,PROPN
1.1,,οὗ,,οὗ,ADV
1.1,,καταπέπληγμαι,,καταπλήσσω,VERB
1.1,,τὴν,,ὁ,DET
1.1,,ἐπιείκειαν,",",ἐπιείκεια,NOUN
1.1,,ὃς,,ὅς,PRON
1.1,,σιγῶν,,σιγέω,VERB
1.1,,πλείονα,,πλείων,ADJ
1.1,,δύναται,,δύναμαι,VERB
1.1,,τῶν,,ὁ,DET
1.1,,μάταια,,μάταιος,ADJ
1.1,,λαλούντων,.,λαλέω,VERB
1.2,,συνευρύθμισται,,συνευρύθμισται,VERB
1.2,,γὰρ,,γάρ,ADV
1.2,,ταῖς,,ὁ,DET
1.2,,ἐντολαῖς,,ἐντολή,NOUN
1.2,,ὡς,,ὡς,ADV
1.2,,χορδαῖς,,χορδή,NOUN
1.2,,κιθάρα,.,κιθάρα,NOUN
1.2,,διὸ,,διό,ADV
1.2,,μακαρίζει,,μακαρίζω,VERB
1.2,,μου,,ἐγώ,PRON
1.2,,ἡ,,ὁ,DET
1.2,,ψυχὴ,,ψυχή,NOUN
1.2,,τὴν,,ὁ,DET
1.2,,εἰς,,εἰς,ADP
1.2,,θεὸν,,θεός,NOUN
1.2,,αὐτοῦ,,αὐτός,PRON
1.2,,γνώμην,",",γνώμη,NOUN
1.2,,ἐπιγνοὺς,,ἐπιγιγνώσκω,VERB
1.2,,ἐνάρετον,,ἐνάρετος,ADJ
1.2,,καὶ,,καί,CCONJ
1.2,,τέλειον,,τέλειος,ADJ
1.2,,οὖσαν,",",εἰμί,AUX
1.2,,τὸ,,ὁ,DET
1.2,,ἀκίνητον,,ἀκίνητος,ADJ
1.2,,αὐτοῦ,,αὐτός,PRON
1.2,,καὶ,,καί,CCONJ
1.2,,τὸ,,ὁ,DET
1.2,,ἀόργητον,,ἀόργητος,ADJ
1.2,,αὐτοῦ,,αὐτός,PRON
1.2,,ἐν,,ἐν,ADP
1.2,,πάσῃ,,πᾶς,DET
1.2,,ἐπιεικείᾳ,,ἐπιείκεια,NOUN
1.2,,θεοῦ,,θεός,NOUN
1.2,,ζῶντος,.,ζάω,VERB
2.1,,Τέκνα,,τέκνον,NOUN
2.1,,οὖν,,οὖν,ADV
2.1,,φωτὸς,,φως,NOUN
2.1,,ἀληθείας,",",ἀλήθεια,NOUN
2.1,,φεύγετε,,φεύγω,VERB
2.1,,τὸν,,ὁ,DET
2.1,,μερισμὸν,,μερισμός,NOUN
2.1,,καὶ,,καί,CCONJ
2.1,,τὰς,,ὁ,DET
