reference,leader,word,trailer,lemma,part_of_speech
1.1,,Ἐπειδὴ,,ἐπεί,CCONJ
1.1,,ὁρῶ,",",ὁράω,VERB
1.1,,κράτιστε,,κράτιστος,ADJ
1.1,,Διόγνητε,",",Διόγνητος,NOUN
1.1,,ὑπερεσπουδακότα,,ὑπερσπουδάζω,VERB
1.1,,σε,,σύ,PRON
1.1,,τὴν,,ὁ,DET
1.1,,θεοσέβειαν,,θεοσέβεια,NOUN
1.1,,τῶν,,ὁ,DET
1.1,,Χριστιανῶν,,Χριστιανός,NOUN
1.1,,μαθεῖν,,μανθάνω,VERB
1.1,,καὶ,,καί,ADV
1.1,,πάνυ,,πάνυ,ADV
1.1,,σαφῶς,,σαφής,ADV
1.1,,καὶ,,καί,CCONJ
1.1,,ἐπιμελῶς,,ἐπιμελής,ADV
1.1,,πυνθανόμενον,,πυνθάνομαι,VERB
1.1,,περὶ,,περί,ADP
1.1,,αὐτῶν,",",αὐτός,PRON
1.1,,τίνι,,τίς,PRON
1.1,,τε,,τε,ADV
1.1,,θεῷ,,θεός,NOUN
1.1,,πεποιθότες,,πείθω,VERB
1.1,,καὶ,,καί,CCONJ
1.1,,πῶς,,πῶς,ADV
1.1,,θρησκεύοντες,,θρησκεύω,VERB
1.1,,αὐτὸν,,αὐτός,PRON
1.1,,τόν,,ὁ,DET
1.1,,τε,,τε,ADV
1.1,,κόσμον,,κόσμος,NOUN
1.1,,ὑπερορῶσι,,ὑπεροράω,VERB
1.1,,πάντες,,πᾶς,ADJ
1.1,,καὶ,,καί,CCONJ
1.1,,θανάτου,,θάνατος,NOUN
1.1,,καταφρονοῦσι,,καταφρονέω,VERB
1.1,,καὶ,,καί,CCONJ
1.1,,οὔτε,,οὔτε,ADV
1.1,,τοὺς,,ὁ,DET
1.1,,νομιζομένους,,νομίζω,VERB
1.1,,ὑπὸ,,ὑπό,ADP
1.1,,τῶν,,ὁ,DET
1.1,,Ἑλλήνων,,Ἕλλην,NOUN
1.1,,θεοὺς,,θεός,NOUN
1.1,,λογίζονται,,λογίζομαι,VERB
1.1,,οὔτε,,οὔτε,CCONJ
1.1,,τὴν,,ὁ,DET
1.1,,Ἰουδαίων,,Ἰουδαῖος,ADJ
1.1,,δεισιδαιμονίαν,,δεισιδαιμονία,NOUN
1.1,,φυλάσσουσι,",",φυλάσσω,VERB
1.1,,καὶ,,καί,CCONJ
1.1,,τίνα,,τις,ADJ
1.1,,τὴν,,ὁ,DET
1.1,,φιλοστοργίαν,,φιλοστοργία,NOUN
1.1,,ἔχουσι,,ἔχω,VERB
1.1,,πρὸς,,πρός,ADP
1.1,,ἀλλήλους,",",ἀλλήλων,PRON
1.1,,καὶ,,καί,CCONJ
1.1,,τί,,τίς,PRON
1.1,,δή,,δή,ADV
1.1,,ποτε,,ποτέ,ADV
1.1,,καινὸν,,καινός,ADJ
1.1,,τοῦτο,,οὗτος,ADJ
1.1,,γένος,,γένος,NOUN
1.1,,ἢ,,,CCONJ
1.1,,ἐπιτήδευμα,,ἐπιτήδευμα,NOUN
1.1,,εἰσῆλθεν,,εἰσέρχομαι,VERB
1.1,,εἰς,,εἰς,ADP
1.1,,τὸν,,ὁ,DET
1.1,,βίον,,βίος,NOUN
1.1,,νῦν,,νῦν,ADV
1.1,,καὶ,,καί,CCONJ
1.1,,οὐ,,οὐ,ADV
1.1,,πρότερον,·,πρότερος,ADJ
1.1,,ἀποδέχομαί,,ἀποδέχομαι,VERB
1.1,,γε,,γε,ADV
1.1,,τῆς,,ὁ,DET
1.1,,προθυμίας,,προθυμία,NOUN
1.1,,σε,,σύ,PRON
1.1,,ταύτης,,οὗτος,ADJ
1.1,,καὶ,,καί,ADV
1.1,,παρὰ,,παρά,ADP
1.1,,τοῦ,,ὁ,DET
1.1,,θεοῦ,",",θεός,NOUN
1.1,,τοῦ,,ὁ,DET
1.1,,καὶ,,καί,ADV
1.1,,τὸ,,ὁ,DET
1.1,,λέγειν,,λέγω,VERB
1.1,,καὶ,,καί,CCONJ
1.1,,τὸ,,ὁ,DET
1.1,,ἀκούειν,,ἀκούω,VERB
1.1,,ἡμῖν,,ἐγώ,PRON
1.1,,χορηγοῦντος,",",χορηγέω,VERB
1.1,,αἰτοῦμαι,,αἰτέω,VERB
1.1,,δοθῆναι,,δίδωμι,VERB
1.1,,ἐμοὶ,,ἐγώ,PRON
1.1,,μὲν,,μέν,ADV
1.1,,εἰπεῖν,,εἶπον,VERB
1.1,,οὕτως,",",οὕτως,ADV
1.1,,ὡς,,ὡς,SCONJ
1.1,,μάλιστα,,μάλιστα,ADV
1.1,,ἂν,,ἄν,ADV
1.1,,ἀκούσαντά,,ἀκούω,VERB
1.1,,σε,,σύ,PRON
1.1,,βελτίω,,βελτίων,ADJ
1.1,,γενέσθαι,",",γίγνομαι,VERB
1.1,,σοί,,σύ,PRON
1.1,,τε,,τε,CCONJ
1.1,,οὕτως,,οὕτως,ADV
1.1,,ἀκοῦσαι,",",ἀκούω,VERB
1.1,,ὡς,,ὡς,SCONJ
1.1,,μὴ,,μή,ADV
1.1,,λυπηθῆναι,,λυπέω,VERB
1.1,,τὸν,,ὁ,DET
1.1,,εἰπόντα,.,εἶπον,VERB
2.1,,Ἄγε,,,ADV
2.1,,δή,",",δή,ADV
2.1,,καθάρας,,,VERB
2.1,,σεαυτὸν,,σαυτοῦ,PRON
2.1,,ἀπὸ,,ἀπό,ADP
2.1,,πάντων,,πᾶς,ADJ
2.1,,τῶν,,ὁ,DET
2.1,,προκατεχόντων,,προκατέχω,VERB
2.1,,σου,,σύ,PRON
2.1,,τὴν,,ὁ,DET
2.1,,διάνοιαν,,διάνοια,NOUN
2.1,,λογισμῶν,,λογισμός,NOUN
2.1,,καὶ,,καί,CCONJ
2.1,,τὴν,,ὁ,DET
2.1,,ἀπατῶσάν,,ἀπατάω,VERB
2.1,,σε,,σύ,PRON
2.1,,συνήθειαν,,συνήθεια,NOUN
2.1,,ἀποσκευασάμενος,,ἀποσκευάζω,VERB
2.1,,καὶ,,καί,CCONJ
2.1,,γενόμενος,,γίγνομαι,VERB
2.1,,ὥσπερ,,ὥσπερ,ADV
2.1,,ἐξ,,ἐκ,ADP
2.1,,ἀρχῆς,,ἀρχή,NOUN
2.1,,καινὸς,,καινός,ADJ
2.1,,ἄνθρωπος,",",ἄνθρωπος,NOUN
2.1,,ὡς,,ὡς,ADV
2.1,,ἂν,,ἄν,ADV
2.1,,καὶ,,καί,ADV
2.1,,λόγου,,λόγος,NOUN
2.1,,καινοῦ,",",καινός,ADJ
2.1,,καθάπερ,,καθά,ADV
2.1,,καὶ,,καί,ADV
2.1,,αὐτὸς,,αὐτός,PRON
2.1,,ὡμολόγησας,",",ὁμολογέω,VERB
2.1,,ἀκροατὴς,,ἀκροατής,NOUN
2.1,,ἐσόμενος,·,εἰμί,VERB
2.1,,ἴδε,,εἶδον,VERB
2.1,,μὴ,,μή,ADV
2.1,,μόνον,,μόνος,ADJ
2.1,,τοῖς,,ὁ,DET
2.1,,ὀφθαλμοῖς,",",ὀφθαλμός,NOUN
2.1,,ἀλλὰ,,ἀλλά,CCONJ
2.1,,καὶ,,καί,ADV
2.1,,τῇ,,ὁ,DET
2.1,,φρονήσει,",",φρόνησις,NOUN
2.1,,τίνος,,τίς,ADJ
2.1,,ὑποστάσεως,,ὑπόστασις,NOUN
2.1,,ἢ,,,CCONJ
2.1,,τίνος,,τίς,ADJ
2.1,,εἴδους,,εἶδος,NOUN
2.1,,τυγχάνουσιν,",",τυγχάνω,VERB
2.1,,οὓς,,ὅς,PRON
2.1,,ἐρεῖτε,,,VERB
2.1,,καὶ,,καί,CCONJ
2.1,,νομίζετε,,νομίζω,VERB
2.1,,θεούς,.,θεός,NOUN
2.2,,οὐχ,,οὐ,ADV
2.2,,ὁ,,,DET
2.2,,μέν,,μέν,ADV
2.2,,τις,,τις,ADJ
2.2,,λίθος,,λίθος,NOUN
2.2,,ἐστίν,",",εἰμί,AUX
2.2,,ὅμοιος,,ὁμοῖος,ADJ
2.2,,τῷ,,ὁ,DET
2.2,,πατουμένῳ,",",,VERB
2.2,,ὁ,,,DET
2.2,,δ’,,,ADV
2.2,,ἐστὶ,,εἰμί,AUX
2.2,,χαλκός,",",χαλκός,NOUN
2.2,,οὐ,,οὐ,ADV
2.2,,κρείσσων,,κρείσσων,ADJ
2.2,,τῶν,,ὁ,DET
2.2,,εἰς,,εἰς,ADP
2.2,,τὴν,,ὁ,DET
2.2,,χρῆσιν,,χρῆσις,NOUN
2.2,,ἡμῖν,,ἐγώ,PRON
2.2,,κεχαλκευμένων,,χαλκεύω,VERB
2.2,,σκευῶν,",",,NOUN
2.2,,ὁ,,,DET
2.2,,δὲ,,δέ,ADV
2.2,,ξύλον,",",ξύλον,NOUN
2.2,,ἤδη,,ἤδη,ADV
2.2,,καὶ,,καί,ADV
2.2,,σεσηπός,",",σήπω,NOUN
2.2,,ὁ,,,DET
2.2,,δὲ,,δέ,ADV
2.2,,ἄργυρος,",",ἄργυρος,NOUN
2.2,,χρῄζων,,χρῄζω,VERB
2.2,,ἀνθρώπου,,ἄνθρωπος,NOUN
2.2,,τοῦ,,ὁ,DET
2.2,,φυλάξαντος,",",,VERB
2.2,,ἵνα,,ἵνα,SCONJ
2.2,,μὴ,,μή,ADV
2.2,,κλαπῇ,",",κλέπτω,VERB
2.2,,ὁ,,,DET
2.2,,δὲ,,δέ,ADV
2.2,,σίδηρος,",",σίδηρος,NOUN
2.2,,ὑπὸ,,ὑπό,ADP
2.2,,ἰοῦ,,ἰός,NOUN
2.2,,διεφθαρμένος,",",διαφθείρω,VERB
2.2,,ὁ,,,DET
2.2,,δὲ,,δέ,CCONJ
2.2,,ὄστρακον,",",ὄστρακον,NOUN
2.2,,οὐδὲν,,οὐδείς,ADJ
2.2,,τοῦ,,ὁ,DET
2.2,,κατεσκευασμένου,,κατασκευάζω,VERB
2.2,,πρὸς,,πρός,ADP
2.2,,τὴν,,ὁ,DET
2.2,,ἀτιμοτάτην,,ἄτιμος,ADJ
2.2,,ὑπηρεσίαν,,ὑπηρεσία,NOUN
2.2,,εὐπρεπέστερον,;,εὐπρεπής,ADJ
2.3,,οὐ,,οὐ,ADV
2.3,,φθαρτῆς,,φθαρτός,ADJ
2.3,,ὕλης,,ὕλη,NOUN
2.3,,ταῦτα,,οὗτος,ADJ
2.3,,πάντα,;,πᾶς,ADJ
2.3,,οὐχ,,οὐ,ADV
2.3,,ὑπὸ,,ὑπό,ADP
2.3,,σιδήρου,,σίδηρος,NOUN
2.3,,καὶ,,καί,CCONJ
2.3,,πυρὸς,,πῦρ,NOUN
2.3,,κεχαλκευμένα,;,χαλκεύω,VERB
2.3,,οὐχ,,οὐ,ADV
2.3,,ὃ,,,DET
2.3,,μὲν,,μέν,ADV
2.3,,αὐτῶν,,αὐτός,PRON
2.3,,λιθοξόος,",",λιθοξόος,ADJ
2.3,,ὃ,,,DET
2.3,,δὲ,,δέ,ADV
2.3,,χαλκεύς,",",χαλκεύς,NOUN
2.3,,ὃ,,,DET
2.3,,δὲ,,δέ,ADV
2.3,,ἀργυροκόπος,",",ἀργυροκόπος,NOUN
2.3,,ὃ,,,DET
2.3,,δὲ,,δέ,CCONJ
2.3,,κεραμεὺς,,κεραμεύς,NOUN
2.3,,ἔπλασεν,;,πλάσσω,VERB
2.3,,οὐ,,οὐ,ADV
2.3,,πρὶν,,πρίν,ADV
2.3,,ἢ,,,CCONJ
2.3,,ταῖς,,ὁ,DET
2.3,,τέχναις,,τέχνη,NOUN
2.3,,τούτων,,οὗτος,PRON
2.3,,εἰς,,εἰς,ADP
2.3,,τὴν,,ὁ,DET
2.3,,μορφὴν,,μορφή,NOUN
2.3,,τούτων,,οὗτος,PRON
2.3,,ἐκτυπωθῆναι,",",ἐκτυπόω,VERB
2.3,,ἦν,,εἰμί,AUX
2.3,,ἕκαστον,,ἕκαστος,ADJ
